type|area|item|status|priority|reason_no|reason_en
languages|mobil|TypeScript|TRIAL|FALSE|Støtte for typescript i React Native bør vurderes, da type trygghet er kjempeviktig|Support for TypeScript in React Native should be considered as type safety is very important
languages|mobil|Dart|ADOPT|TRUE|Brukes av Flutter rammeverket|Used by the Flutter framework
languages|mobil|Yaml|KEEP|FALSE|Brukes av Flutter og React Native|Used by both Flutter and React Native framework
languages|mobil|C#|HOLD|FALSE|Xamarin fases ut, Maui tar over. Samme språk, men avvent Maui stabilitet før revurdering.|Xamarin is deprecated and is phasing out, Maui is taking over. Both use the same language but we are awaiting Maui for stabilization before re-evaluating.
languages|mobil|Ruby|HOLD|FALSE|Brukes for Cocoapods som vi trenger - men som språk er det lite vits i å fokusere på|Used by Cocoapods - which we need - but as a language it is not worth focusing on
languages|mobil|Swift|KEEP|TRUE|Brukes av native iOS. Bransjestandard.|Used by native iOS. Industry standard.
languages|mobil|Kotlin|KEEP|TRUE|Brukes av native Android. Bransjestandard.|Used by native Android. Industry standard.
languages|mobil|GraphQL|TRIAL|FALSE|Alternativ til vanlig REST apier - bør vurderes med tanke på nyere integrasjoner mot sky|Alternative to REST apis - should be considered with regards to newer integrations towards Cloud
languages|mobil|JavaScript|HOLD|FALSE|Mindre typesafe måte å jobbe med React native, unngå om vi har mulighet til fordel for typescript|Less typesafe langauge for React Native, avoid if possible and use TypeScript if available
languages|mobil|Java|HOLD|FALSE|Kotlin er bransjestandard for Android, Java er en rest i gamle apper og bør ikke fokuseres på|Kotlin is industry standard for Android, Java is a legacy remainer in old Android apps and should not be focused on
languages|mobil|Objective-C|HOLD|FALSE|Swift er bransjestandard for iOS, Objective C er bare for gamle apper. Bør ikke fokuseres på.|Swift is industry standard for iOS, Objective C are legacy code for old iOS apps and should not be focused on.
languages|mobil|Groovy|KEEP|FALSE|Brukes av Android gradle, bransjestandard|Used by Android gradle, industry standard
frameworks|mobil|Flutter|ADOPT|TRUE|Store fordeler iforhold til hurtighet, modenhet, kryssplattform samt utvikler vennlighet og dokumentasjon.|Huge advantages in regards to development speed, maturity, cross platform as well as developer friendlyness and documentation
frameworks|mobil|Hilt|ADOPT|FALSE|En "nykommer" blandt dependency injection rammeverkene (sammen med Koin og Dagger2). Har stort potensiale. Er lite, kjapt og godt dokumentert. Begynn å bruke det om du ikke allerede gjør det.|A "newcomer" among dependency injection libraries (along with Koin and Dagger2). Great potential. Is small, fast and well documented. Start using it if not already doing so.
frameworks|mobil|Jetpack Components|ADOPT|FALSE|Ferdige komponenter som håndterer en rekke velkjente problemer. Fungerer godt og bør brukes i native android apper|Finished components handling a wide array of common problems. Should be used in native Android apps.
frameworks|mobil|SwiftUI|ADOPT|TRUE|Moderne funksjonelt rammeverk for native iOS utvikling. Veien framover for iOS native.|Modern functional framework for native iOS development. The road forward for iOS native.
frameworks|mobil|Appcelerator|HOLD|FALSE|Gammelt kryssplattform system, blir sjedent brukt|Old cross-platform framework. Rarely used nowadays.
frameworks|mobil|Dagger2|HOLD|FALSE|Dette dependency injection rammeverket er stort og tungt, ingen vits i å bruke tid på det lenger da Google selv fokuserer på Hilt|This Dependency Injection framework is old and heavy, no point in focusing anymore as Android is focusing on Hilt.
frameworks|mobil|Ionic|HOLD|FALSE|Gammelt kryssplattform system, blir sjedent brukt|Old cross-platform framework. Rarely used nowadays.
frameworks|mobil|PhoneGap|HOLD|FALSE|Gammelt kryssplattform system, blir sjedent brukt|Old cross-platform framework. Rarely used nowadays.
frameworks|mobil|Robolectric|HOLD|FALSE|Denne typen enhetstesting er det lite hold i å bruke tid på lenger, Android native har egne test rammeverk som håndterer dette nå|This framework for unit testing is rarely used nowadays, as Android has implemented better testing methods internally.
frameworks|mobil|RxJava|HOLD|FALSE|Eldre reaktivt programmeringsbibliotek, holder ikke mål lenger og bør erstattes av Flow eller andre|Older library for programming reactive flows, should be phased out and replaced with Flow or others
frameworks|mobil|Xamarin|HOLD|FALSE|Microsoft har deprekert Xamarin så det er inget poeng i å bruke tid på det. Arvtageren Maui derimot må følges med.|Microsoft has deprecated Xamarin so there is no point in focusing on it. The inheritor, Maui, on the other hand should be considered.
frameworks|mobil|Koin|KEEP|FALSE|En av de tre vanligste Dependency Injection rammeverkene for Android. Bør ikke fases ut, men nykommeren Hilt vil nok fase ut Koin etterhvert|One of the three most common Dependency Injection frameworks. Should not be phased out, but the newcomer Hilt will phase it out in time
frameworks|mobil|Kotlin Coroutines|KEEP|FALSE|Bransjestandard og en stor fordel for Kotlin som språk|Industry standard and a great advantage for Kotlin as a language
frameworks|mobil|Kotlin Flow Native|KEEP|FALSE|Native utvikling som ikke brukes compose vil ha fortsatt ha fordeler av reaktiv Flow|Native development that does not use Compose will still have advantages to using reactive Flow programming
frameworks|mobil|Native Android|KEEP|FALSE|Bransjestandard. Vil aldri forsvinne helt|Industry standard. Will never completely disappear.
